activation_l1_bytes_total,activation_l2_bytes_total,actual_bandwidth_tx_delay_ms,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,baseline_exploration_epsilon,channel_bandwidth_spearman,channel_permutation_delta_spearman,client_local_steps,cluster_load_cv,cluster_physics_prior_std,cluster_size_std,cluster_size_violation,compute_delay_ms,cpsl_proxy_delay,cumulative_global_delay_ms,delay,delay_normalized,downlink_delay_ms,downlink_payload_bytes_per_client_mean,downlink_payload_bytes_total,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,feature_compression_mean,global_round_delay_ms,gradient_l1_bytes_total,gradient_l2_bytes_total,is_warmup,kl_normalized,kl_sum,label_kl_weighted_to_station,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,optimizer_steps,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,paper_local_frequency_mean,pcsfl_cluster_q_loss,pcsfl_clustering_factor,pcsfl_execution_group_count,pcsfl_learning_reward,pcsfl_learning_reward_mean,pcsfl_split_q_loss,pcsfl_waiting_factor,penalty,physical_cluster_count,required_airtime_bandwidth_spearman,reward,reward_objective_mode,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,split_physics_prior_std,split_predicted_delay_min_seconds,station_id,test_accuracy,top_worker_count,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,uplink_delay_ms,uplink_payload_bytes_per_client_mean,uplink_payload_bytes_total,vehicle_count,virtual_cluster_count
54525952.0,35651584.0,8391.385695350502,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.20249999999999999,0.0,0.0,4,0.6,0.0,3.0,0.0,93.06870307773352,,606500.4705363461,16.872740109755018,16.872740109755018,8391.385695350502,9017753.6,90177536.0,40,0.0,8391.385695350502,1.0,16872.740109755017,54525952.0,35651584.0,False,0.1736352984471285,1.599240199287721,0.2269515007681419,0.1,8,3.7,4.7,0.1,2,8,2466.023787523111,0.0,0.7061243664572008,,0.19285503029823303,9.693158062873408e-05,12,-1.0000010303568818,-0.8103510141372681,0.20262306928634644,3.4691353900199147,0.0,2,0.0,-16.872740109755018,delay_only,5452595.2,54525952.0,0.0,0.0,1,0.0484375,0,16872.740109755017,0.0828125,3.8700507283210754,16782.771390701004,8391.385695350502,9017753.6,90177536.0,10,2
39845888.0,19005440.0,2271.902398642096,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.20166666666666666,0.0,0.0,4,0.4,0.0,2.0,0.0,119.11884741857648,,606500.4705363461,4.595200433336085,4.595200433336085,2271.902398642096,5885132.8,58851328.0,40,0.0,2271.902398642096,1.0,16872.740109755017,39845888.0,19005440.0,False,0.14645873714558036,1.3489348195605868,0.3094473278448523,0.1,7,4.1,5.1,0.1,2,8,1477.6013148404218,0.0,0.3496193693340101,,0.19285503029823303,0.00010251886124024168,12,-0.3570699769897705,-0.8103510141372681,0.20262306928634644,1.223159960884267,0.0,2,0.0,-4.595200433336085,delay_only,3984588.8,39845888.0,0.0,0.0,2,0.0484375,0,4595.200433336086,0.1046875,3.946212816238403,4543.804797284192,2271.902398642096,5885132.8,58851328.0,10,2
44040192.0,21102592.0,3516.7579168224174,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2008333333333333,0.0,0.0,4,0.0,0.0,0.0,0.0,186.68506247922778,,606500.4705363461,7.220200896124062,7.220200896124062,3516.7579168224174,6514278.4,65142784.0,40,0.0,3516.7579168224174,1.0,16872.740109755017,44040192.0,21102592.0,False,0.05917326419449009,0.2725029520760624,0.0,0.1,10,4.0,5.0,0.1,1,4,1515.9384042063111,0.0,0.5689386531399225,,0.19285503029823303,9.833245712798089e-05,12,-1.0000010603539664,-0.8103510141372681,0.20262306928634644,4.010619820554199,0.0,1,0.0,-7.220200896124062,delay_only,4404019.2,44040192.0,0.0,0.0,3,0.0484375,0,7220.200896124063,0.0859375,3.8996486604213714,7033.515833644835,3516.7579168224174,6514278.4,65142784.0,10,1
54525952.0,35651584.0,6951.52326982298,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,4,0.8,0.0,4.0,0.0,151.88134321942925,,623139.8558668857,14.054927882865389,14.054927882865389,6951.52326982298,9017753.6,90177536.0,41,0.0,6951.52326982298,1.0,16639.385330539648,54525952.0,35651584.0,False,0.2194713827808153,2.0214061373195817,0.15633894874616971,0.1,9,3.7,4.7,0.1,2,8,1916.182207480828,0.0,0.7243507454259556,,0.1922600269317627,9.79244287009351e-05,12,-1.0000010515723947,-0.7841594219207764,0.19735118746757507,8.95505723227539,0.0,2,0.0,-14.054927882865389,delay_only,5452595.2,54525952.0,0.0,0.0,1,,0,14054.92788286539,0.05625,4.1673247694969175,13903.04653964596,6951.52326982298,9017753.6,90177536.0,10,2
41943040.0,20971520.0,2816.327141222032,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.19916666666666666,0.0,0.0,4,0.0,0.0,0.0,0.0,110.37239572033286,,623139.8558668857,5.743026678164398,5.743026678164398,2816.3271412220324,6291456.0,62914560.0,41,0.0,2816.327141222032,1.0,16639.385330539648,41943040.0,20971520.0,False,0.056043283550621985,0.2580888585322012,0.0,0.1,10,4.0,5.0,0.1,1,4,1747.5642952249395,0.0,0.3794881746349062,,0.1922600269317627,8.235860877903178e-05,4,-0.8095582826917074,-0.7841594219207764,0.19735118746757507,2.1375256919941856,0.0,1,0.0,-5.743026678164398,delay_only,4194304.0,41943040.0,0.0,0.0,2,,0,5743.026678164398,0.05625,4.081816601753235,5632.654282444065,2816.3271412220324,6291456.0,62914560.0,10,1
58720256.0,29360128.0,8246.585495328756,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.1983333333333333,0.0,0.0,4,0.8,0.0,4.0,0.0,146.2143398821354,,623139.8558668857,16.639385330539646,16.639385330539646,8246.585495328756,8808038.4,88080384.0,41,0.0,8246.585495328756,1.0,16639.385330539648,58720256.0,29360128.0,False,0.23675884589813234,2.1806295567980563,0.20174207855822665,0.1,9,3.7,4.7,0.1,2,8,2110.7235012068245,0.0,0.7440487942067131,,0.1922600269317627,9.14513184397947e-05,12,-1.0000009171429778,-0.7841594219207764,0.19735118746757507,10.996166356429038,0.0,2,0.0,-16.639385330539646,delay_only,5872025.6,58720256.0,0.0,0.0,3,,0,16639.385330539648,0.1,4.084325522184372,16493.170990657512,8246.585495328756,8808038.4,88080384.0,10,2
44040192.0,21102592.0,2953.4217427465123,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.1975,0.0,0.0,4,0.8,0.0,4.0,0.0,185.569919180125,,633728.7160839885,6.092413404673149,6.092413404673149,2953.421742746512,6514278.4,65142784.0,42,0.0,2953.4217427465123,1.0,10588.860217102774,44040192.0,21102592.0,False,0.21468025499889942,1.9772782196825052,0.19097132300349628,0.1,9,4.0,5.0,0.1,2,8,1507.4500084742099,0.0,0.4895920258674712,,0.1568741351366043,0.00010585848212940618,16,-0.9260650954103975,-0.7365283966064453,0.15978054702281952,2.4740642175851137,0.0,2,0.0,-6.092413404673149,delay_only,4404019.2,44040192.0,0.0,0.0,1,,0,6092.413404673149,0.078125,3.953157526254654,5906.843485493024,2953.421742746512,6514278.4,65142784.0,10,2
41943040.0,20971520.0,1953.9584583916833,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.19666666666666666,0.0,0.0,4,0.8,0.0,4.0,0.0,100.53505562245846,,633728.7160839885,3.952635937619423,3.952635937619423,1953.9584583916837,6291456.0,62914560.0,42,0.0,1953.9584583916833,1.0,10588.860217102774,41943040.0,20971520.0,False,0.2085354797912006,1.9206827485103184,0.1824819456192311,0.1,9,4.0,5.0,0.1,2,8,1516.9616648844276,0.0,0.22364692126922234,,0.1568741351366043,8.726047235541046e-05,8,-0.10330699032073576,-0.7365283966064453,0.15978054702281952,0.6249461165428973,0.0,2,0.0,-3.952635937619423,delay_only,4194304.0,41943040.0,0.0,0.0,2,,0,3952.6359376194227,0.1046875,3.862259382009506,3907.9169167833675,1953.9584583916837,6291456.0,62914560.0,10,2
54525952.0,27262976.0,5224.308660995667,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.1958333333333333,0.0,0.0,4,0.6,0.0,3.0,0.0,140.2428951114416,,633728.7160839885,10.588860217102773,10.588860217102773,5224.308660995666,8178892.8,81788928.0,42,0.0,5224.308660995667,1.0,10588.860217102774,54525952.0,27262976.0,False,0.15357334543784495,1.4144627835456278,0.24688267244610773,0.1,8,3.8,4.8,0.1,2,8,2033.9200041282108,0.0,0.6106815013987746,,0.1568741351366043,8.711364716873504e-05,12,-1.000000832203444,-0.7365283966064453,0.15978054702281952,4.739206924127601,0.0,2,0.0,-10.588860217102773,delay_only,5452595.2,54525952.0,0.0,0.0,3,,0,10588.860217102774,0.0828125,3.9932646334171293,10448.617321991333,5224.308660995666,8178892.8,81788928.0,10,2
58720256.0,29360128.0,4471.697031989082,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0,4,0.4,0.0,2.0,0.0,155.46414768323302,,652256.2490960471,9.098858211661396,9.098858211661396,4471.697031989082,8808038.4,88080384.0,43,0.0,4471.697031989082,1.0,18527.53301205861,58720256.0,29360128.0,False,0.14227618635214917,1.3104121031300064,0.24000111828561077,0.1,7,3.7,4.7,0.1,2,8,1898.471692836454,0.0,0.575447155910743,,0.18351921439170837,8.644520494272001e-05,16,-1.0000008194810852,-0.8633018732070923,0.18286465108394623,3.275380356446359,0.0,2,0.0,-9.098858211661396,delay_only,5872025.6,58720256.0,0.0,0.0,1,,0,9098.858211661396,0.1125,3.8627227008342744,8943.394063978163,4471.697031989082,8808038.4,88080384.0,10,2
71303168.0,52428800.0,9217.011318117391,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.19416666666666665,0.0,0.0,4,0.6,0.0,3.0,0.0,160.7909114100039,,652256.2490960471,18.527533012058612,18.527533012058612,9217.011318117393,12373196.8,123731968.0,43,0.0,9217.011318117391,1.0,18527.53301205861,71303168.0,52428800.0,False,0.16856742765998486,1.5525633843769335,0.25114879883042723,0.1,8,3.3,4.3,0.1,2,8,3041.491377875523,0.0,0.6700132751386532,,0.18351921439170837,9.48330489336513e-05,20,-1.000000986226165,-0.8633018732070923,0.18286465108394623,10.605595404203255,0.0,2,0.0,-18.527533012058612,delay_only,7130316.8,71303168.0,0.0,0.0,2,,0,18527.53301205861,0.1015625,3.901229429244995,18434.022636234786,9217.011318117393,12373196.8,123731968.0,10,2
67108864.0,41943040.0,8829.46223791265,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.1933333333333333,0.0,0.0,4,0.6,0.0,3.0,0.0,130.25792222470045,,652256.2490960471,17.75127516924488,17.75127516924488,8829.462237912652,10905190.4,109051904.0,43,0.0,8829.46223791265,1.0,18527.53301205861,67108864.0,41943040.0,False,0.1662427820737053,1.5311526072830866,0.2116473609182966,0.1,8,3.5,4.5,0.1,2,8,2839.9623633441897,0.0,0.6783538694859883,,0.18351921439170837,9.262864841730334e-05,16,-1.0000009409092845,-0.8633018732070923,0.18286465108394623,11.499465224588246,0.0,2,0.0,-17.75127516924488,delay_only,6710886.4,67108864.0,0.0,0.0,3,,0,17751.27516924488,0.1,3.8829272210597994,17658.924475825304,8829.462237912652,10905190.4,109051904.0,10,2
54525952.0,35651584.0,10001.873495446634,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.1925,0.0,0.0,4,0.6,0.0,3.0,0.0,90.84534598514438,,672349.350813892,20.09310171784484,20.09310171784484,10001.873495446634,9017753.6,90177536.0,44,0.0,10001.873495446634,1.0,20093.10171784484,54525952.0,35651584.0,False,0.15207586448560334,1.4006704742749316,0.20047258142298918,0.1,8,3.7,4.7,0.1,2,8,2459.719794765232,0.0,0.7540740946298689,,0.30519723892211914,9.821443381952122e-05,12,-1.0000010578101202,-0.8118770122528076,0.3009471893310547,3.8171949230341027,0.0,2,0.0,-20.09310171784484,delay_only,5452595.2,54525952.0,0.0,0.0,1,,0,20093.10171784484,0.0984375,3.911198002099991,20003.74699089327,10001.873495446634,9017753.6,90177536.0,10,2
41943040.0,20971520.0,1835.3475933736927,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.19166666666666665,0.0,0.0,4,0.8,0.0,4.0,0.0,95.60336545109749,,672349.350813892,3.7662985521984833,3.7662985521984833,1835.347593373693,6291456.0,62914560.0,44,0.0,1835.3475933736927,1.0,20093.10171784484,41943040.0,20971520.0,False,0.2538599296956124,2.3381363593025344,0.2051287329632088,0.1,9,4.0,5.0,0.1,2,8,1428.5063542420867,0.0,0.22166985730684405,,0.30519723892211914,8.736368545214646e-05,8,-0.12278093697697012,-0.8118770122528076,0.3009471893310547,0.6837259202912602,0.0,2,0.0,-3.7662985521984833,delay_only,4194304.0,41943040.0,0.0,0.0,2,,0,3766.2985521984833,0.0953125,3.937716084718704,3670.695186747386,1835.347593373693,6291456.0,62914560.0,10,2
46137344.0,23068672.0,2640.872204053093,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.19083333333333333,0.0,0.0,4,0.0,0.0,0.0,0.0,144.62270680814981,,672349.350813892,5.426367114914336,5.426367114914336,2640.872204053093,6920601.6,69206016.0,44,0.0,2640.872204053093,1.0,20093.10171784484,46137344.0,23068672.0,False,0.05917326419449009,0.2725029520760624,0.0,0.1,10,3.9,4.9,0.1,1,4,1550.3225032003445,0.0,0.41295057715364697,,0.30519723892211914,8.417918434133753e-05,8,-0.8088429753611315,-0.8118770122528076,0.3009471893310547,2.135787222080463,0.0,1,0.0,-5.426367114914336,delay_only,4613734.4,46137344.0,0.0,0.0,3,,0,5426.367114914336,0.0859375,4.013638633489609,5281.744408106186,2640.872204053093,6920601.6,69206016.0,10,1
54525952.0,35651584.0,6985.599577061451,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,4,0.0,0.0,0.0,0.0,147.0284848473966,,686467.5784528622,14.118227638970296,14.118227638970296,6985.59957706145,9017753.6,90177536.0,45,0.0,6985.599577061451,1.0,14118.227638970297,54525952.0,35651584.0,False,0.0693422136440747,0.3193326949041095,9.998668559769158e-13,0.1,10,3.7,4.7,0.1,1,4,2036.025751292827,0.0,0.7085395850660399,,0.2847328186035156,9.643330849939957e-05,8,-1.000001019791112,-0.7899959087371826,0.28846096992492676,9.853702436440548,0.0,1,0.0,-14.118227638970296,delay_only,5452595.2,54525952.0,0.0,0.0,1,,0,14118.227638970297,0.0734375,3.921454483270645,13971.1991541229,6985.59957706145,9017753.6,90177536.0,10,1
44040192.0,21102592.0,2340.1675837431594,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.18916666666666665,0.0,0.0,4,0.8,0.0,4.0,0.0,142.63567700982094,,686467.5784528622,4.822970844496139,4.822970844496139,2340.1675837431594,6514278.4,65142784.0,45,0.0,2340.1675837431594,1.0,14118.227638970297,44040192.0,21102592.0,False,0.26131386478180874,2.406789638557018,0.22467850508968157,0.1,9,4.0,5.0,0.1,2,8,1512.7264359490023,0.0,0.35358200564022996,,0.2847328186035156,0.0002517396023904439,12,-0.4133034587185815,-0.7899959087371826,0.28846096992492676,1.3335672065597866,0.0,2,0.0,-4.822970844496139,delay_only,4404019.2,44040192.0,0.0,0.0,2,,0,4822.97084449614,0.0765625,3.897270506620407,4680.335167486319,2340.1675837431594,6514278.4,65142784.0,10,2
52428800.0,25296896.0,4895.2737615842625,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.18833333333333332,0.0,0.0,4,0.8,0.0,4.0,0.0,175.94115249812603,,686467.5784528622,9.966488675666653,9.966488675666653,4895.273761584263,7772569.6,77725696.0,45,0.0,4895.2737615842625,1.0,14118.227638970297,52428800.0,25296896.0,False,0.21457246038701022,1.9762853946167407,0.17682238487207722,0.1,9,3.9,4.9,0.1,2,8,1666.5883145905343,0.0,0.6595515601866617,,0.2847328186035156,9.752647383720614e-05,16,-1.0000010430427995,-0.7899959087371826,0.28846096992492676,5.693963533008658,0.0,2,0.0,-9.966488675666653,delay_only,5242880.0,52428800.0,0.0,0.0,3,,0,9966.488675666653,0.075,3.973900818824768,9790.547523168527,4895.273761584263,7772569.6,77725696.0,10,2
