activation_l1_bytes_total,activation_l2_bytes_total,actual_bandwidth_tx_delay_ms,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,baseline_exploration_epsilon,channel_bandwidth_spearman,channel_permutation_delta_spearman,client_local_steps,cluster_load_cv,cluster_physics_prior_std,cluster_size_std,cluster_size_violation,compute_delay_ms,cpsl_proxy_delay,cumulative_global_delay_ms,delay,delay_normalized,downlink_delay_ms,downlink_payload_bytes_per_client_mean,downlink_payload_bytes_total,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,feature_compression_mean,global_round_delay_ms,gradient_l1_bytes_total,gradient_l2_bytes_total,is_warmup,kl_normalized,kl_sum,label_kl_weighted_to_station,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,optimizer_steps,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,paper_local_frequency_mean,pcsfl_clustering_factor,pcsfl_execution_group_count,pcsfl_learning_reward,pcsfl_waiting_factor,penalty,physical_cluster_count,required_airtime_bandwidth_spearman,reward,reward_objective_mode,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,split_physics_prior_std,split_predicted_delay_min_seconds,station_id,test_accuracy,top_worker_count,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,uplink_delay_ms,uplink_payload_bytes_per_client_mean,uplink_payload_bytes_total,vehicle_count,virtual_cluster_count
69040496.0,41943040.0,2905.3684568847852,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,80.19869634881616,,1370638.3283473367,5.890792803908764,5.890792803908764,2905.3684568847857,11098353.6,110983536.0,123,0.0,2905.3684568847852,0.698648596485902,29749.92420124237,69040496.0,41943040.0,False,0.1313842372951097,1.210093545000448,0.33254382035375346,0.1,5,3.0,4.0,0.1,2,8,2458.245473276089,0.0,0.15389544914661663,1.0,,,,,0.0,2,0.0,-5.890792803908764,delay_only,6904049.6,69040496.0,0.0,0.0,3,,2,5890.792803908764,0.178125,3.2373321056365967,5810.736913769571,2905.3684568847857,11098353.6,110983536.0,10,2
75347456.0,41943040.0,2933.0239620238403,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,78.60939623787999,,1404531.5202035173,5.943826735614213,5.943826735614213,2933.0239620238403,11729049.6,117290496.0,124,0.0,2933.0239620238403,0.8067334483975646,33893.19185618054,75347456.0,41943040.0,False,0.13856060132586975,1.276190300356955,0.31876245537547265,0.1,5,3.0,4.0,0.1,2,8,2461.4225323060577,0.0,0.1607901728127612,1.0,,,,,0.0,2,0.0,-5.943826735614213,delay_only,7534745.6,75347456.0,0.0,0.0,1,,2,5943.826735614212,0.175,3.3355345726013184,5866.047924047681,2933.0239620238403,11729049.6,117290496.0,10,2
63188816.0,41943040.0,16907.786489155726,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,78.04346084594727,,1404531.5202035173,33.89319185618054,33.89319185618054,16907.786489155722,10513185.6,105131856.0,124,0.0,16907.786489155726,0.7053176681266289,33893.19185618054,63188816.0,41943040.0,False,0.11061153918238466,1.018769924937943,0.2512961040358081,0.1,5,3.0,4.0,0.1,2,8,13026.595490413689,0.0,0.22955050924207882,1.0,,,,,0.0,2,0.0,-33.89319185618054,delay_only,6318881.6,63188816.0,0.0,0.0,2,,2,33893.19185618054,0.19375,3.342045933008194,33815.572978311444,16907.786489155722,10513185.6,105131856.0,10,2
68512784.0,41943040.0,2892.3172520238245,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,78.58766056597233,,1404531.5202035173,5.863190423277634,5.863190423277634,2892.317252023825,11045582.4,110455824.0,124,0.0,2892.3172520238245,0.7129749801187097,33893.19185618054,68512784.0,41943040.0,False,0.1313842372951097,1.210093545000448,0.33254382035375346,0.1,5,3.0,4.0,0.1,2,8,2477.969807920581,0.0,0.1432579513237403,1.0,,,,,0.0,2,0.0,-5.863190423277634,delay_only,6851278.4,68512784.0,0.0,0.0,3,,2,5863.190423277634,0.1953125,3.2368271350860596,5784.63450404765,2892.317252023825,11045582.4,110455824.0,10,2
70376176.0,41943040.0,2970.8061055273006,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,78.27067747712135,,1432364.5402837507,6.0196633543804685,6.0196633543804685,2970.8061055273015,11231921.6,112319216.0,125,0.0,2970.8061055273006,0.7305317578444599,27833.020080233542,70376176.0,41943040.0,False,0.13856060132586975,1.276190300356955,0.31876245537547265,0.1,5,3.0,4.0,0.1,2,8,2388.058561747817,0.0,0.19615805376704304,1.0,,,,,0.0,2,0.0,-6.0196633543804685,delay_only,7037617.6,70376176.0,0.0,0.0,1,,2,6019.663354380468,0.18125,3.281051814556122,5941.612211054603,2970.8061055273015,11231921.6,112319216.0,10,2
68264864.0,41943040.0,13875.896013750971,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,81.22805273160338,,1432364.5402837507,27.833020080233542,27.833020080233542,13875.89601375097,11020790.4,110207904.0,125,0.0,13875.896013750971,0.7098224094376132,27833.020080233542,68264864.0,41943040.0,False,0.11061153918238466,1.018769924937943,0.2512961040358081,0.1,5,3.0,4.0,0.1,2,8,12598.320610972278,0.0,0.09207156074913068,1.0,,,,,0.0,2,0.0,-27.833020080233542,delay_only,6826486.4,68264864.0,0.0,0.0,2,,2,27833.020080233542,0.190625,3.2402664124965668,27751.79202750194,13875.89601375097,11020790.4,110207904.0,10,2
76845392.0,41943040.0,2860.915006426158,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,81.31557051092386,,1432364.5402837507,5.802444123772894,5.802444123772894,2860.9150064261576,11878843.2,118788432.0,125,0.0,2860.915006426158,0.7921886795754313,27833.020080233542,76845392.0,41943040.0,False,0.1313842372951097,1.210093545000448,0.33254382035375346,0.1,5,3.0,4.0,0.1,2,8,2426.4208011647193,0.0,0.15187246188211898,1.0,,,,,0.0,2,0.0,-5.802444123772894,delay_only,7684539.2,76845392.0,0.0,0.0,3,,2,5802.444123772893,0.196875,3.2804392278194427,5721.830012852315,2860.9150064261576,11878843.2,118788432.0,10,2
52866084.0,41943040.0,2753.9618837839284,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,80.46482456848025,,1462219.6545896453,5.588388592136338,5.588388592136338,2753.961883783929,9480912.4,94809124.0,126,0.0,2753.9618837839284,0.5805384044048103,29855.114305894585,52866084.0,41943040.0,False,0.13856060132586975,1.276190300356955,0.31876245537547265,0.1,5,3.0,4.0,0.1,2,8,2395.7628252953978,0.0,0.13006681777177223,1.0,,,,,0.0,2,0.0,-5.588388592136338,delay_only,5286608.4,52866084.0,0.0,0.0,1,,2,5588.388592136338,0.196875,3.1336758732795715,5507.923767567858,2753.961883783929,9480912.4,94809124.0,10,2
60832784.0,41943040.0,14888.179650315897,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,78.75500526279211,,1462219.6545896453,29.855114305894585,29.855114305894585,14888.179650315897,10277582.4,102775824.0,126,0.0,14888.179650315897,0.6560036938731424,29855.114305894585,60832784.0,41943040.0,False,0.11061153918238466,1.018769924937943,0.2512961040358081,0.1,5,3.0,4.0,0.1,2,8,11511.149935667032,0.0,0.22682623356020634,1.0,,,,,0.0,2,0.0,-29.855114305894585,delay_only,6083278.4,60832784.0,0.0,0.0,2,,2,29855.114305894585,0.1765625,3.422855317592621,29776.359300631793,14888.179650315897,10277582.4,102775824.0,10,2
77494000.0,41943040.0,2971.4354368203267,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,78.46193434670568,,1462219.6545896453,6.021332807987359,6.021332807987359,2971.4354368203267,11943704.0,119437040.0,126,0.0,2971.4354368203267,0.82389406161078,29855.114305894585,77494000.0,41943040.0,False,0.1313842372951097,1.210093545000448,0.33254382035375346,0.1,5,3.0,4.0,0.1,2,8,2497.5849960960713,0.0,0.15946852987366714,1.0,,,,,0.0,2,0.0,-6.021332807987359,delay_only,7749400.0,77494000.0,0.0,0.0,3,,2,6021.332807987359,0.2,3.29008024930954,5942.870873640653,2971.4354368203267,11943704.0,119437040.0,10,2
